saved,run_dir,backbone,stage,best_epoch,val_acc,image_size,epochs,ext_ratio,ext_source,sketch_prob,grayscale,train_on_all,val_leaked
2026-09-13 17:21,(root/latest),convnext_large.dinov3_lvd1689m,base,1,98.45,192,16,0.3,painting+inr_dinov3_layerdecay,0.0,0.0,False,
2026-09-13 18:05,(root/latest),convnext_large.dinov3_lvd1689m,base,1,98.59,192,16,0.3,painting+inr_dinov3_flat2e5,0.0,0.0,False,
2026-09-13 19:14,(root/latest),convnext_large.dinov3_lvd1689m,pseudo1,1,98.52,192,16,0.3,painting+inr_dinov3_flat2e5,0.0,0.0,False,
2026-09-14 06:51,softkd_ACD3,convnextv2_large.fcmae_ft_in22k_in1k,pseudo1-softkd,6,99.30,192,16,0.25,painting+inr_cnv2L,0.0,0.0,False,
2026-09-14 ,dinov2vitl,vit_large_patch14_reg4_dinov2.lvd142m,base,6,99.44,196,16,0.30,painting+inr_dinov2vitl,0.0,0.0,False,
2026-09-14 13:02,dinov2vitlps1,vit_large_patch14_reg4_dinov2.lvd142m,pseudo1,2,99.30,196,16,0.30,painting+inr_dinov2vitl,0.0,0.0,False,
2026-09-14 14:52,cnv2Lps1_V2Pteach,convnextv2_large.fcmae_ft_in22k_in1k,pseudo1,15,99.01,192,16,0.30,painting+inr_V2Pteacher,0.0,0.0,False,
2026-09-14 16:50,dinov3vitl,vit_large_patch16_dinov3.lvd1689m,base,4,99.51,192,16,0.30,painting+inr_dinov3vitl,0.0,0.0,False,
2026-09-14 18:58,dinov3vitlps1,vit_large_patch16_dinov3.lvd1689m,pseudo1,6,99.51,192,16,0.30,painting+inr_dinov3vitl,0.0,0.0,False,
2026-09-15 13:40,dinov3vitl_lpft,vit_large_patch16_dinov3.lvd1689m,base-lpft2,3,99.51,192,16,0.30,painting+inr_dinov3vitl,0.0,0.0,False,
2026-09-15 15:25,siglip2vitl,vit_large_patch16_siglip_gap_256.v2_webli,base,8,97.89,192,16,0.30,painting+inr_siglip2vitl,0.0,0.0,False,
2026-09-15 20:32,websslvitl,facebook/webssl-dino300m-full2b-224 (converted to timm),base,7,97.82,196,16,0.30,painting+inr_websslvitl,0.0,0.0,False,
2026-09-17 16:59,eva02l,eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,base,4,99.3,196,16,0.30,painting+inr_eva02l,0.0,0.0,False,
2026-09-17 20:17,eva02lps1,eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,pseudo1,2,99.51,196,16,0.30,painting+inr_eva02l,0.0,0.0,False,
2026-09-17 22:50,dinov3vitlps1b,vit_large_patch16_dinov3.lvd1689m,pseudo1 (teacher V2P+EVAP),4,99.51,192,16,0.30,painting+inr_dinov3vitl,0.0,0.0,False,
